Category,Multiplier
Compensation inside LPA boundary or NCA of impact site,1
"Compensation outside LPA or NCA of impact site, but in neighbouring LPA or NCA",0.75
Compensation outside LPA or NCA of impact site and neighbouring LPA or NCA,0.5
This metric is being used by an off-site provider,1
Intertidal habitats - Compensation inside Marine Plan Area of impact site,1
Intertidal habitats - Compensation outside same Marine Plan Area but in neighbouring Marine Plan Area,0.75
Intertidal habitats - Compensation outside Marine Plan Area of impact site and beyond neighbouring Marine Plan Area,0.5
