Strategic Significance,,
Description,Strategic significance,Multiplier
Formally identified in local strategy,High strategic significance,1.15
Location ecologically desirable but not in local strategy,Medium strategic significance,1.1
Area/compensation not in local strategy/ no local strategy,Low Strategic Significance,1
